Hygiene,Energy,Fun,Current State,Tidur Siang,Tidur Malam,Makan Hamburger,Makan Pizza,Makan Steak and Beans,Minum Air,Minum Kopi,Minum Jus,Buang Air Kecil,Buang Air Besar,Bersosialisasi ke Kafe,Bermain Media Sosial,Bermain Komputer,Mandi,Cuci Tangan,Mendengarkan Musik di Radio,Membaca Koran,Membaca Novel
0,0,0,q0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,5,q1,q9,q13,q5,q9,q13,q1,q1,q1,q17,q1,q1,q1,q1,q1,q17,q1,q1,q1
0,0,10,q2,q10,q14,q6,q10,q14,q2,q2,q2,q18,q2,q2,q2,q2,q2,q18,q2,q2,q2
0,0,15,q3,q11,q15,q7,q11,q15,q3,q3,q3,q19,q3,q3,q3,q3,q3,q19,q3,q3,q3
0,5,0,q4,q12,q4,q8,q12,q4,q4,q4,q4,q20,q32,q4,q4,q4,q48,q20,q2,q1,q2
0,5,5,q5,q13,q5,q9,q13,q5,q5,q5,q5,q21,q33,q5,q5,q5,q49,q21,q3,q2,q3
0,5,10,q6,q14,q6,q10,q14,q6,q6,q6,q6,q22,q34,q6,q6,q6,q50,q22,q6,q3,q6
0,5,15,q7,q15,q7,q11,q15,q7,q7,q7,q7,q23,q35,q7,q7,q7,q51,q23,q7,q7,q7
0,10,0,q8,q8,q8,q12,q8,q8,q8,q8,q8,q24,q36,q8,q2,q3,q52,q24,q6,q5,q6
0,10,5,q9,q9,q9,q13,q9,q9,q9,q9,q9,q25,q37,q9,q3,q9,q53,q25,q7,q6,q7
0,10,10,q10,q10,q10,q14,q10,q10,q10,q10,q10,q26,q38,q10,q10,q10,q54,q26,q10,q7,q10
0,10,15,q11,q11,q11,q15,q11,q11,q11,q11,q11,q27,q39,q11,q11,q11,q55,q27,q11,q11,q11
0,15,0,q12,q12,q12,q12,q12,q12,q12,q12,q12,q28,q40,q12,q6,q7,q56,q28,q10,q9,q10
0,15,5,q13,q13,q13,q13,q13,q13,q13,q13,q13,q29,q41,q13,q7,q13,q57,q29,q11,q10,q11
0,15,10,q14,q14,q14,q14,q14,q14,q14,q14,q14,q30,q42,q14,q14,q14,q58,q30,q14,q11,q14
0,15,15,q15,q15,q15,q15,q15,q15,q15,q15,q15,q31,q43,q15,q15,q15,q59,q31,q15,q15,q15
5,0,0,q16,q24,q28,q20,q24,q28,q0,q4,q8,q32,q16,q16,q16,q16,q16,q32,q16,q16,q16
5,0,5,q17,q25,q29,q21,q25,q29,q1,q5,q9,q33,q17,q17,q17,q17,q17,q33,q17,q17,q17
5,0,10,q18,q26,q30,q22,q26,q30,q2,q6,q10,q34,q18,q18,q18,q18,q18,q34,q18,q18,q18
5,0,15,q19,q27,q31,q23,q27,q31,q3,q7,q11,q35,q19,q19,q19,q19,q19,q35,q19,q19,q19
5,5,0,q20,q28,q20,q24,q28,q20,q4,q8,q12,q36,q48,q20,q20,q20,q20,q36,q18,q17,q18
5,5,5,q21,q29,q21,q25,q29,q21,q5,q9,q13,q37,q49,q21,q21,q21,q21,q37,q19,q18,q19
5,5,10,q22,q30,q22,q26,q30,q22,q6,q10,q14,q38,q50,q22,q22,q22,q22,q38,q22,q19,q22
5,5,15,q23,q31,q23,q27,q31,q23,q7,q11,q15,q39,q51,q23,q23,q23,q23,q39,q23,q23,q23
5,10,0,q24,q24,q24,q28,q24,q24,q8,q12,q24,q40,q52,q3,q18,q19,q24,q40,q22,q21,q22
5,10,5,q25,q25,q25,q29,q25,q25,q9,q13,q25,q41,q53,q25,q19,q25,q25,q41,q23,q22,q23
5,10,10,q26,q26,q26,q30,q26,q26,q10,q14,q26,q42,q54,q26,q26,q26,q26,q42,q26,q23,q26
5,10,15,q27,q27,q27,q31,q27,q27,q11,q15,q27,q43,q55,q27,q27,q27,q27,q43,q27,q27,q27
5,15,0,q28,q28,q28,q28,q28,q28,q12,q28,q28,q44,q56,q7,q22,q23,q28,q44,q26,q25,q26
5,15,5,q29,q29,q29,q29,q29,q29,q13,q29,q29,q45,q57,q29,q23,q29,q29,q45,q27,q26,q27
5,15,10,q30,q30,q30,q30,q30,q30,q14,q30,q30,q46,q58,q30,q30,q30,q30,q46,q30,q27,q30
5,15,15,q31,q31,q31,q31,q31,q31,q15,q31,q31,q47,q59,q31,q31,q31,q31,q47,q31,q31,q31
